relative_path,size_bytes,sha256
outputs/day9_main_experiments/DAY9_LITERATURE_METHOD_MAP.md,2942,ABC9868A46F3922DC35EB94F2F451F8B22E62239E79432802FF9D3384C00D5AC
outputs/day9_main_experiments/MAIN_EXPERIMENT_PRESENTATION_GUIDE.md,1144,2926503D53C7328935E58319362A0CF5D9527C87C82B10B0D199EB7AD5394D61
outputs/day9_main_experiments/accuracy_cost_and_interaction.png,468349,0007DFB66F959B9DF6174B79F2DA5EA6B221C82E001239817DD1AA22202FBE0B
outputs/day9_main_experiments/baseline_method_summary.csv,14717,560CE3C579D4BBB976FA6CDBAF8CA6F0E3AFFAF35EAB24DAAC9246CD991E33D2
outputs/day9_main_experiments/baseline_replications.csv,127551,B2C53C9F1957B9BFF43588F623241F1CADB320884E46AD1A90C88C31C7CB0206
outputs/day9_main_experiments/correlation_matrix.csv,189,9037DC4185F742D87AF14F73F3F21DE0041EA0CE0C94A9E8C028D18AA1CB6C55
outputs/day9_main_experiments/cost_normalized_efficiency.png,313705,51ABC727ABC2F21879ABEE1F06B33D416AA479086233C81E0CFD3CF5588473C2
outputs/day9_main_experiments/empirical_convergence_and_time_to_target.csv,773,A51A884A5EF2D20E7224E79355B3F1221042B60F98DB7B39E9EE574604E229EF
outputs/day9_main_experiments/environment.csv,400,E01247A4FCF8D6AE0E82BB8564D4CBEAB53CF1E542759F250ED55AD8AFC0D8DF
outputs/day9_main_experiments/fair_coupon_regime_sensitivity.png,376371,4A00694C51EF4706DC0A84B28B9A25BA7C514EDAC9E7AF3CB776B6B3E7B0EF21
outputs/day9_main_experiments/fair_coupon_time_to_target.csv,799,B159E49089994617FDEFD4B0C819ECDABEFCF192FF5522C38DDE468AB5013D9B
outputs/day9_main_experiments/gate_summary.csv,459,695BB95CACA8A47E569D124401B24B274802DE6F0322DB8822949FA9AF8F5352
outputs/day9_main_experiments/greek_time_to_target.csv,1717,EE7B087FCF0A1D5105234E73743A6B682C10DB9F3E64F3777FA2488823E87AAD
outputs/day9_main_experiments/greek_time_to_target.png,207028,DEC638DEDC15DA428BA2BB6B9E9C444557A5E8E1016CAADC190B4F2415E320CF
outputs/day9_main_experiments/market_inputs.csv,245,208C74E693230BDA2E41F06D2573B574C06098EB08C6FAF781E8D273801FDF06
outputs/day9_main_experiments/pareto_frontier.csv,14820,C772948CE58A69FA2A663B99D97A15FC0C072C3DB7CA0B37FB2D7B866C3ED52E
outputs/day9_main_experiments/pytest_output.txt,818,A244DC2C9C0F0C324A28D68A20EB6B09F1D1E450EBE785AB9209725E27539AE8
outputs/day9_main_experiments/reference_replications.csv,12672,D77AD4AA78B9BB754D079E0E13239B2AC2C016F2A6EBE827DFE5B455B3847C77
outputs/day9_main_experiments/reference_summary.csv,773,A65F658681F33982DBF691DBE8B030E8DE1E2BF3FF89B6CAF9E975A13485B286
outputs/day9_main_experiments/regime_replications.csv,171858,3E349D9DCDC2E6D82320FF3DB4E54AAE63078A92E551DEFED1C86F178789D6C5
outputs/day9_main_experiments/regime_summary.csv,4526,1B826429C76C1D5252D8595843647AEB67F20C25E848AB83613E01AFDC779645
outputs/day9_main_experiments/rqmc_conditioning_interaction.csv,546,2C295F7AD018310C52C3210F00BEDF0A564247B6069946A25F8DF9F1DAC54F92
outputs/day9_main_experiments/run_manifest.csv,617,85AAE448A7CF21EC83AC04CF65276990734CE01CCA1F9CCE7CBE853F07F88A9F
outputs/day9_main_experiments/sampling_monitoring_approximation_evidence.png,226392,4C7CACD9FD13142A6B6796871B13307044331B48A207E544A0C7DD4EC2A4F62F
outputs/day9_main_experiments/trigger_smoothing_regime_map.png,343553,64AD10397226F4754B49EC8CB2C126C286DF29336CCBB7AE99B5DBCBDC615A27
outputs/day9_main_experiments/trigger_smoothing_replications.csv,119863,B112943E3136B99092AC22FC56A4625F1131E53552DA50500BC1DB51600EBA3A
outputs/day9_main_experiments/trigger_smoothing_summary.csv,4240,D31CED3C2236E0EF6D01F8455939ABED85C6028EDD16FEBB95F3A0B8117A397F
